input files,output files,matched attributes
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\0 speed reading.docx,,not found
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\how memory works.gif,,not found
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\work area\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\right\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\old rules\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\right\1\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\rxils.txt,,not found
C:\Users\RFV\Desktop\0 income\file search\test folders\rxils2.txt,,not found
C:\Users\RFV\Desktop\0 income\file search\test folders\RFV_long.png,,not found
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\Supercompressed_AnimationWizard2.gif,,not found
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\work area\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\right\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\Thumbs.db,C:\Users\RFV\Desktop\0 income\file search\test folders\right\1\Thumbs.db,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (light).bmp,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 bw (dark).bmp,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 bw (light).bmp,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\a_01.bmp,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\a_02.bmp,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\a_03.bmp,partial
C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\zzer0 (dark).bmp,C:\Users\RFV\Desktop\0 income\file search\test folders\3 zzer0\animation 02\a_04.bmp,partial
